IP,Port,Banner,Timestamp,Hostnames,Country,City,Operating System,Organization
193.105.139.7,22,"SSH-2.0-Cisco-1.25
Key type: ssh-rsa
Key: AAAAB3NzaC1yc2EAAAADAQABAAABAQDPVRckHhDuv5f0HsPuX6Rn49BrspwQ9Yiue7XHwcyplNyt
WnSRv4qzgFyfgzdmiXbgLASh78kwYwd3dBF83ZzdlcfrfsWMy+nMky8rIWo7Yf/PzYI2AfIOLzl6
vL1q+RTSe8cU42cBrA1jmMNMuMnd+ZlewzfnT/KNpkCQP2Oa6iK0xkrOX5liV3w7jjMqS8bUjaBv
IMPcxeblj69avsuHTYhEhGWQ252yw0MHD/MfFVkp6AvfVQpRn0mGpJg6oc9II/5rMRPuYGELm8CB
FVLXusC7MJdgyDGq7knPW73wT7JfFzXSyABlZEodseBplA71eA3XvE5cTX1MpCiixSch
Fingerprint: bb:12:0b:2e:c4:81:9f:4e:37:c7:c7:b9:4a:4a:a2:20

Kex Algorithms:
	diffie-hellman-group-exchange-sha1
	diffie-hellman-group14-sha1
	diffie-hellman-group1-sha1

Server Host Key Algorithms:
	ssh-rsa

Encryption Algorithms:
	aes128-ctr
	aes192-ctr
	aes256-ctr
	aes128-cbc
	3des-cbc
	aes192-cbc
	aes256-cbc

MAC Algorithms:
	hmac-sha1
	hmac-sha1-96

Compression Algorithms:
	none

",2016-10-21T06:39:18.981647,,Germany,,,Adobe Systems Software Ireland Limited
193.105.140.5,500,"VPN (IKE)

Initiator SPI: e5f858a0876af576
Responder SPI: cfe356262e5450fc
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 80",2016-10-21T04:20:30.926671,,Romania,,,Adobe Systems Software Ireland Limited
193.104.215.54,443,"HTTP/1.1 200 OK
Date: Thu, 20 Oct 2016 19:21:28 GMT
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Thu, 20 Oct 2016 19:36:28 GMT
X-dynaTrace: PT=2998892;PA=688767141;SP=prod;PS=170337423
X-Adobe-Loc: du1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-10-20T19:21:40.557391,flashaccesscontent-du1.adobe.com,Europe,,,Level 3 Communications
192.150.8.151,443,"HTTP/1.1 204 No Content
Server: openresty
Date: Thu, 20 Oct 2016 17:24:51 GMT
Connection: keep-alive
Access-Control-Allow-Origin: *

",2016-10-20T17:24:57.019578,metrics-dev.adobe.com,Europe,,,Level 3 Communications
193.104.215.32,443,"HTTP/1.1 404 Not Found
Date: Thu, 20 Oct 2016 17:21:51 GMT
Server: Bomgar
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
Set-Cookie: ns_s=357675837c5c41a4627df63b9160d5fa01151679; path=/; secure; HttpOnly
Strict-Transport-Security: max-age=31536000
X-UA-Compatible: IE=edge
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

",2016-10-20T17:21:58.874551,remotetraffic-eu2.rs.adobe.com,Europe,,,Level 3 Communications
193.104.215.83,80,"HTTP/1.0 302 Found
Location: https://193.104.215.83/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-20T11:32:45.249651,,Europe,,,Level 3 Communications
193.104.215.82,443,"HTTP/1.1 307 Temporary Redirect
date: Tue, 18 Oct 2016 19:18:17 GMT
connection: Keep-Alive
content-length: 0
location: https://licensing.stage.adobe.com/licensing
content-type: text/html

",2016-10-18T19:18:31.653118,licensing2-du1.stage.adobe.com,Europe,,,Level 3 Communications
193.104.215.63,80,"HTTP/1.1 200 OK
Date: Mon, 17 Oct 2016 16:53:18 GMT
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Mon, 17 Oct 2016 17:08:18 GMT
X-dynaTrace: PT=2726595;PA=-1961283273;SP=prod;PS=170337423
X-Adobe-Loc: du1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-10-17T16:53:22.109917,www-origin-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.55,443,"HTTP/1.1 404 Not Found
Date: Mon, 17 Oct 2016 16:38:36 GMT
Server: Apache
Content-Length: 198
Content-Type: text/html; charset=iso-8859-1

",2016-10-17T16:38:46.438188,productping-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.87,80,"HTTP/1.1 200 OK
Server: Apache-Coyote/1.1
Accept-Ranges: bytes
ETag: W/""164-1358371085000""
Last-Modified: Wed, 16 Jan 2013 21:18:05 GMT
Content-Type: text/html
Content-Length: 164
Date: Mon, 17 Oct 2016 12:34:53 GMT

",2016-10-17T12:34:57.752456,adeactivate-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.92,443,"HTTP/1.0 307 Temporary Redirect
date: Mon, 17 Oct 2016 09:23:20 GMT
connection: close
location: https://licensing.adobe.com/licensing
content-type: text/html

",2016-10-17T09:23:35.300385,,Europe,,,Level 3 Communications
193.104.215.63,443,"HTTP/1.1 200 OK
Date: Mon, 17 Oct 2016 03:24:02 GMT
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Mon, 17 Oct 2016 03:39:02 GMT
X-dynaTrace: PT=2879133;PA=-332271778;SP=prod;PS=170337423
X-Adobe-Loc: du1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-10-17T03:24:10.590378,www-origin-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.55,80,"HTTP/1.1 404 Not Found
Date: Fri, 14 Oct 2016 16:00:09 GMT
Server: Apache
Content-Length: 198
Content-Type: text/html; charset=iso-8859-1

",2016-10-14T16:00:13.423395,productping-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.56,80,"HTTP/1.1 200 OK
Date: Fri, 14 Oct 2016 13:33:47 GMT
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Fri, 14 Oct 2016 13:48:47 GMT
X-dynaTrace: PT=1534206;PA=620193490;SP=prod;PS=170337423
X-Adobe-Loc: du1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-10-14T13:33:57.021412,products-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.60,80,"HTTP/1.1 200 OK
Date: Fri, 14 Oct 2016 12:58:34 GMT
Server: Apache
Accept-Ranges: bytes
Pragma: no-cache
Cache-control: no-cache
Content-Length: 1641
Content-Type: text/html; charset=UTF-8

",2016-10-14T12:58:38.246611,unavailable-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.59,80,"HTTP/1.0 302 Found
Location: https://193.104.215.59/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-14T12:14:01.611148,settings-du1.adobe.com,Europe,,,Level 3 Communications
193.105.140.4,80,"HTTP/1.0 302 Temporary moved
Content-Length: 0
Cache-Control: no-cache
Pragma: no-cache
Connection: Close
Date: Fri, 14 Oct 2016 08:14:32 GMT
X-Frame-Options: SAMEORIGIN
Location: https://193.105.140.4/

",2016-10-14T08:14:33.657669,,Romania,,HP-UX 11.x,Adobe Systems Software Ireland Limited
193.104.215.72,80,"HTTP/1.1 403 Forbidden
Date: Fri, 14 Oct 2016 07:27:27 GMT
Server: Apache
Content-Length: 202
Content-Type: text/html; charset=iso-8859-1

",2016-10-14T07:27:29.057472,,Europe,,,Level 3 Communications
193.104.215.29,443,"HTTP/1.1 404 Not Found
Date: Fri, 14 Oct 2016 07:25:16 GMT
Server: Bomgar
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
Set-Cookie: ns_s=41a0d26d71f0f2a13c5ec8da7c88594b371a6174; path=/; secure; HttpOnly
Strict-Transport-Security: max-age=31536000
X-UA-Compatible: IE=edge
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

",2016-10-14T07:25:23.426093,csstagingtraffic-eu1.share.adobe.com,Europe,,,Level 3 Communications
193.104.215.93,80,"HTTP/1.0 302 Found
Location: https://193.104.215.93/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-14T02:53:51.087274,,Europe,,,Level 3 Communications
193.104.215.95,80,"HTTP/1.1 200 OK
Date: Fri, 14 Oct 2016 01:57:27 GMT
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Fri, 14 Oct 2016 02:12:27 GMT
X-dynaTrace: PT=3750614;PA=155365867;SP=prod;PS=170337423
X-Adobe-Loc: du1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-10-14T01:57:33.013347,solutionpartners-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.103,80,"HTTP/1.1 302 Found
Date: Thu, 13 Oct 2016 20:31:08 GMT
Server: Apache/2.2.15 (Red Hat)
Location: https://193.104.215.103/
Content-Length: 290
Connection: close
Content-Type: text/html; charset=iso-8859-1

",2016-10-13T20:31:12.880675,,Europe,,,Level 3 Communications
193.104.215.111,80,"HTTP/1.0 302 Found
Location: https://193.104.215.111/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-13T17:35:18.529203,fileshare-prod-du1-ext-vip.adobe.com,Europe,,,Level 3 Communications
193.105.139.4,4500,"VPN (IKE NAT-T)

Initiator SPI: e5f858a0876af576
Responder SPI: 7755cb98916c5d31
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 108",2016-10-12T16:25:04.363631,,Germany,,,Adobe Systems Software Ireland Limited
193.105.139.5,500,"VPN (IKE)

Initiator SPI: e5f858a0876af576
Responder SPI: b4d8e8dda06fbdc3
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 80",2016-10-12T16:05:07.771886,,Germany,,,Adobe Systems Software Ireland Limited
193.104.215.68,443,"HTTP/1.1 403 Forbidden
Date: Tue, 11 Oct 2016 20:11:55 GMT
Server: Apache
Content-Length: 202
Content-Type: text/html; charset=iso-8859-1

",2016-10-11T20:12:09.131189,,Europe,,,Level 3 Communications
193.104.215.111,443,"HTTP/1.1 200 OK
X-Powered-By: Express
Accept-Ranges: bytes
Cache-Control: public, max-age=0
Last-Modified: Tue, 14 Jun 2016 04:41:23 GMT
ETag: W/""599-1554d36c538""
Content-Type: text/html; charset=UTF-8
Content-Length: 1433
Date: Fri, 07 Oct 2016 11:27:12 GMT
Connection: keep-alive

",2016-10-07T11:27:19.522143,fileshare-prod-du1-ext-vip.adobe.com,Europe,,,Level 3 Communications
193.104.215.41,443,"HTTP/1.1 200 OK
Date: Tue, 04 Oct 2016 07:57:34 GMT
Server: Bomgar
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Pragma: no-cache
Cache-Control: no-cache
Set-Cookie: ns_s=d340de6c97bcd101d50ce16b58e4a642fc792886; path=/; secure; HttpOnly
Strict-Transport-Security: max-age=31536000
X-UA-Compatible: IE=edge
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

",2016-10-04T07:57:45.558855,,Europe,,,Level 3 Communications
